County	State	Year	Population
Balance of Haralson County	Georgia	2014	17570
Balance of Haralson County	Georgia	2015	17700
Harris County	Georgia	2010	32157
Harris County	Georgia	2011	32359
Harris County	Georgia	2012	32607
Harris County	Georgia	2013	32658
Harris County	Georgia	2014	32873
Harris County	Georgia	2015	33381
Balance of Harris County	Georgia	2010	27855
Balance of Harris County	Georgia	2011	28037
Balance of Harris County	Georgia	2012	28268
Balance of Harris County	Georgia	2013	28336
Balance of Harris County	Georgia	2014	28514
Balance of Harris County	Georgia	2015	28803
Hart County	Georgia	2010	25209
Hart County	Georgia	2011	25462
Hart County	Georgia	2012	25574
Hart County	Georgia	2013	25510
Hart County	Georgia	2014	25412
Hart County	Georgia	2015	25534
Balance of Hart County	Georgia	2010	19583
Balance of Hart County	Georgia	2011	19786
Balance of Hart County	Georgia	2012	19909
Balance of Hart County	Georgia	2013	19838
Balance of Hart County	Georgia	2014	19761
Balance of Hart County	Georgia	2015	19861
Heard County	Georgia	2010	11858
Heard County	Georgia	2011	11719
Heard County	Georgia	2012	11655
Heard County	Georgia	2013	11566
Heard County	Georgia	2014	11606
Heard County	Georgia	2015	11539
Balance of Heard County	Georgia	2010	10024
Balance of Heard County	Georgia	2011	9906
Balance of Heard County	Georgia	2012	9850
Balance of Heard County	Georgia	2013	9776
Balance of Heard County	Georgia	2014	9813
Balance of Heard County	Georgia	2015	9757
Henry County	Georgia	2010	205142
Henry County	Georgia	2011	207007
Henry County	Georgia	2012	208391
Henry County	Georgia	2013	210687
Henry County	Georgia	2014	213738
Henry County	Georgia	2015	217739
Balance of Henry County	Georgia	2010	144052
Balance of Henry County	Georgia	2011	145344
Balance of Henry County	Georgia	2012	146290
Balance of Henry County	Georgia	2013	147929
Balance of Henry County	Georgia	2014	150130
Balance of Henry County	Georgia	2015	152958
Houston County	Georgia	2010	140746
Houston County	Georgia	2011	144227
Houston County	Georgia	2012	146299
Houston County	Georgia	2013	148064
Houston County	Georgia	2014	149228
Houston County	Georgia	2015	150033
Balance of Houston County	Georgia	2010	51093
Balance of Houston County	Georgia	2011	52223
Balance of Houston County	Georgia	2012	52747
Balance of Houston County	Georgia	2013	53414
Balance of Houston County	Georgia	2014	53650
Balance of Houston County	Georgia	2015	53931
Irwin County	Georgia	2010	9600
Irwin County	Georgia	2011	9694
Irwin County	Georgia	2012	9604
Irwin County	Georgia	2013	9405
Irwin County	Georgia	2014	9091
Irwin County	Georgia	2015	9245
Balance of Irwin County	Georgia	2010	6129
Balance of Irwin County	Georgia	2011	6128
Balance of Irwin County	Georgia	2012	6084
Balance of Irwin County	Georgia	2013	5937
Balance of Irwin County	Georgia	2014	5807
Balance of Irwin County	Georgia	2015	5858
Jackson County	Georgia	2010	60749
Jackson County	Georgia	2011	60522
Jackson County	Georgia	2012	60456
Jackson County	Georgia	2013	60916
Jackson County	Georgia	2014	61848
Jackson County	Georgia	2015	63360
Balance of Jackson County	Georgia	2010	36523
Balance of Jackson County	Georgia	2011	36380
Balance of Jackson County	Georgia	2012	36249
Balance of Jackson County	Georgia	2013	36530
Balance of Jackson County	Georgia	2014	37028
Balance of Jackson County	Georgia	2015	37734
Jasper County	Georgia	2010	13883
Jasper County	Georgia	2011	13772
Jasper County	Georgia	2012	13590
Jasper County	Georgia	2013	13530
Jasper County	Georgia	2014	13440
Jasper County	Georgia	2015	13635
Balance of Jasper County	Georgia	2010	10976
Balance of Jasper County	Georgia	2011	10887
Balance of Jasper County	Georgia	2012	10744
Balance of Jasper County	Georgia	2013	10693
Balance of Jasper County	Georgia	2014	10623
Balance of Jasper County	Georgia	2015	10780
Jeff Davis County	Georgia	2010	15092
Jeff Davis County	Georgia	2011	15088
Jeff Davis County	Georgia	2012	15113
Jeff Davis County	Georgia	2013	14966
Jeff Davis County	Georgia	2014	14862
Jeff Davis County	Georgia	2015	14920
Balance of Jeff Davis County	Georgia	2010	10608
Balance of Jeff Davis County	Georgia	2011	10605
Balance of Jeff Davis County	Georgia	2012	10607
Balance of Jeff Davis County	Georgia	2013	10503
Balance of Jeff Davis County	Georgia	2014	10432
Balance of Jeff Davis County	Georgia	2015	10473
Jefferson County	Georgia	2010	16905
Jefferson County	Georgia	2011	16799
Jefferson County	Georgia	2012	16403
Jefferson County	Georgia	2013	16326
Jefferson County	Georgia	2014	16237
Jefferson County	Georgia	2015	16106
Balance of Jefferson County	Georgia	2010	9218
Balance of Jefferson County	Georgia	2011	9178
Balance of Jefferson County	Georgia	2012	8937
Balance of Jefferson County	Georgia	2013	8857
Balance of Jefferson County	Georgia	2014	8894
Balance of Jefferson County	Georgia	2015	8766
Jenkins County	Georgia	2010	8326
Jenkins County	Georgia	2011	8126
Jenkins County	Georgia	2012	9135
Jenkins County	Georgia	2013	9262
Jenkins County	Georgia	2014	9129
Jenkins County	Georgia	2015	8957
Balance of Jenkins County	Georgia	2010	5211
Balance of Jenkins County	Georgia	2011	5085
Balance of Jenkins County	Georgia	2012	6116
Balance of Jenkins County	Georgia	2013	6214
Balance of Jenkins County	Georgia	2014	6136
Balance of Jenkins County	Georgia	2015	6032
Johnson County	Georgia	2010	9981
Johnson County	Georgia	2011	9929
Johnson County	Georgia	2012	9892
Johnson County	Georgia	2013	9787
Johnson County	Georgia	2014	9707
Johnson County	Georgia	2015	9656
Balance of Johnson County	Georgia	2010	5594
Balance of Johnson County	Georgia	2011	5562
Balance of Johnson County	Georgia	2012	5544
Balance of Johnson County	Georgia	2013	5476
Balance of Johnson County	Georgia	2014	5426
Balance of Johnson County	Georgia	2015	5417
Jones County	Georgia	2010	28634
Jones County	Georgia	2011	28890
Jones County	Georgia	2012	28774
Jones County	Georgia	2013	28741
Jones County	Georgia	2014	28791
Jones County	Georgia	2015	28494
Balance of Jones County	Georgia	2010	25375
Balance of Jones County	Georgia	2011	25599
Balance of Jones County	Georgia	2012	25503
Balance of Jones County	Georgia	2013	25458
Balance of Jones County	Georgia	2014	25496
Balance of Jones County	Georgia	2015	25225
Lamar County	Georgia	2010	18270
Lamar County	Georgia	2011	18180
Lamar County	Georgia	2012	18040
Lamar County	Georgia	2013	17939
Lamar County	Georgia	2014	18212
Lamar County	Georgia	2015	18201
Balance of Lamar County	Georgia	2010	10855
Balance of Lamar County	Georgia	2011	10775
Balance of Lamar County	Georgia	2012	10789
Balance of Lamar County	Georgia	2013	10751
Balance of Lamar County	Georgia	2014	10829
Balance of Lamar County	Georgia	2015	10872
Lanier County	Georgia	2010	10099
Lanier County	Georgia	2011	10470
Lanier County	Georgia	2012	10448
Lanier County	Georgia	2013	10396
Lanier County	Georgia	2014	10390
Lanier County	Georgia	2015	10312
Balance of Lanier County	Georgia	2010	6738
Balance of Lanier County	Georgia	2011	7042
Balance of Lanier County	Georgia	2012	7034
Balance of Lanier County	Georgia	2013	7011
Balance of Lanier County	Georgia	2014	7044
Balance of Lanier County	Georgia	2015	6990
Laurens County	Georgia	2010	48403
Laurens County	Georgia	2011	48017
Laurens County	Georgia	2012	47986
Laurens County	Georgia	2013	47921
Laurens County	Georgia	2014	47777
Laurens County	Georgia	2015	47731
Balance of Laurens County	Georgia	2010	27573
Balance of Laurens County	Georgia	2011	27248
Balance of Laurens County	Georgia	2012	27201
Balance of Laurens County	Georgia	2013	27100
Balance of Laurens County	Georgia	2014	27056
Balance of Laurens County	Georgia	2015	26967
Lee County	Georgia	2010	28424
Lee County	Georgia	2011	28604
Lee County	Georgia	2012	28719
Lee County	Georgia	2013	29046
Lee County	Georgia	2014	29159
Lee County	Georgia	2015	29202
Balance of Lee County	Georgia	2010	24945
Balance of Lee County	Georgia	2011	25111
Balance of Lee County	Georgia	2012	25203
Balance of Lee County	Georgia	2013	25495
Balance of Lee County	Georgia	2014	25596
Balance of Lee County	Georgia	2015	25634
Liberty County	Georgia	2010	62684
Liberty County	Georgia	2011	65119
Liberty County	Georgia	2012	65389
Liberty County	Georgia	2013	64020
Liberty County	Georgia	2014	65141
Liberty County	Georgia	2015	62467
Balance of Liberty County	Georgia	2010	20994
Balance of Liberty County	Georgia	2011	21752
Balance of Liberty County	Georgia	2012	21775
Balance of Liberty County	Georgia	2013	21261
Balance of Liberty County	Georgia	2014	21565
Balance of Liberty County	Georgia	2015	20680
Lincoln County	Georgia	2010	7969
Lincoln County	Georgia	2011	7876
Lincoln County	Georgia	2012	7749
Lincoln County	Georgia	2013	7697
Lincoln County	Georgia	2014	7603
Lincoln County	Georgia	2015	7673
Balance of Lincoln County	Georgia	2010	6408
Balance of Lincoln County	Georgia	2011	6334
Balance of Lincoln County	Georgia	2012	6233
Balance of Lincoln County	Georgia	2013	6203
Balance of Lincoln County	Georgia	2014	6121
Balance of Lincoln County	Georgia	2015	6194
Long County	Georgia	2010	14685
Long County	Georgia	2011	15246
Long County	Georgia	2012	16161
Long County	Georgia	2013	16628
Long County	Georgia	2014	17176
Long County	Georgia	2015	17731
Balance of Long County	Georgia	2010	12956
Balance of Long County	Georgia	2011	13453
Balance of Long County	Georgia	2012	14262
Balance of Long County	Georgia	2013	14675
Balance of Long County	Georgia	2014	15156
Balance of Long County	Georgia	2015	15650
Lowndes County	Georgia	2010	109689
Lowndes County	Georgia	2011	111928
Lowndes County	Georgia	2012	114759
Lowndes County	Georgia	2013	112898
Lowndes County	Georgia	2014	113563
Lowndes County	Georgia	2015	112865
Balance of Lowndes County	Georgia	2010	49147
Balance of Lowndes County	Georgia	2011	50218
Balance of Lowndes County	Georgia	2012	51364
Balance of Lowndes County	Georgia	2013	50896
Balance of Lowndes County	Georgia	2014	51200
Balance of Lowndes County	Georgia	2015	51422
Lumpkin County	Georgia	2010	30301
Lumpkin County	Georgia	2011	30476
Lumpkin County	Georgia	2012	30707
Lumpkin County	Georgia	2013	30872
Lumpkin County	Georgia	2014	31141
Lumpkin County	Georgia	2015	31408
Balance of Lumpkin County	Georgia	2010	24751
Balance of Lumpkin County	Georgia	2011	24854
Balance of Lumpkin County	Georgia	2012	24832
Balance of Lumpkin County	Georgia	2013	24832
Balance of Lumpkin County	Georgia	2014	24810
Balance of Lumpkin County	Georgia	2015	25014
McDuffie County	Georgia	2010	21830
McDuffie County	Georgia	2011	21632
McDuffie County	Georgia	2012	21655
McDuffie County	Georgia	2013	21549
McDuffie County	Georgia	2014	21535
McDuffie County	Georgia	2015	21540
Balance of McDuffie County	Georgia	2010	14513
Balance of McDuffie County	Georgia	2011	14364
Balance of McDuffie County	Georgia	2012	14389
Balance of McDuffie County	Georgia	2013	14330
Balance of McDuffie County	Georgia	2014	14318
Balance of McDuffie County	Georgia	2015	14304
McIntosh County	Georgia	2010	14294
McIntosh County	Georgia	2011	14225
McIntosh County	Georgia	2012	13834
McIntosh County	Georgia	2013	14000
McIntosh County	Georgia	2014	14007
McIntosh County	Georgia	2015	13969
Balance of McIntosh County	Georgia	2010	12355
Balance of McIntosh County	Georgia	2011	12313
Balance of McIntosh County	Georgia	2012	11978
Balance of McIntosh County	Georgia	2013	12137
Balance of McIntosh County	Georgia	2014	12144
Balance of McIntosh County	Georgia	2015	12111
Macon County	Georgia	2010	14655
Macon County	Georgia	2011	14482
Macon County	Georgia	2012	14298
Macon County	Georgia	2013	13994
Macon County	Georgia	2014	13818
Macon County	Georgia	2015	13632
Balance of Macon County	Georgia	2010	7957
Balance of Macon County	Georgia	2011	7860
Balance of Macon County	Georgia	2012	7785
Balance of Macon County	Georgia	2013	7633
Balance of Macon County	Georgia	2014	7527
Balance of Macon County	Georgia	2015	7440
Madison County	Georgia	2010	28146
Madison County	Georgia	2011	28109
Madison County	Georgia	2012	28046
Madison County	Georgia	2013	28176
Madison County	Georgia	2014	28388
Madison County	Georgia	2015	28441
Balance of Madison County	Georgia	2010	25066
Balance of Madison County	Georgia	2011	25035
Balance of Madison County	Georgia	2012	24967
Balance of Madison County	Georgia	2013	25082
Balance of Madison County	Georgia	2014	25276
Balance of Madison County	Georgia	2015	25319
Marion County	Georgia	2010	8744
Marion County	Georgia	2011	8742
Marion County	Georgia	2012	8734
Marion County	Georgia	2013	8685
Marion County	Georgia	2014	8772
Marion County	Georgia	2015	8761
Balance of Marion County	Georgia	2010	6540
Balance of Marion County	Georgia	2011	6538
Balance of Marion County	Georgia	2012	6531
Balance of Marion County	Georgia	2013	6491
Balance of Marion County	Georgia	2014	6562
Balance of Marion County	Georgia	2015	6555
Meriwether County	Georgia	2010	21836
Meriwether County	Georgia	2011	21599
Meriwether County	Georgia	2012	21312
Meriwether County	Georgia	2013	21180
Meriwether County	Georgia	2014	21203
Meriwether County	Georgia	2015	21190
Balance of Meriwether County	Georgia	2010	14347
Balance of Meriwether County	Georgia	2011	14199
Balance of Meriwether County	Georgia	2012	14017
Balance of Meriwether County	Georgia	2013	13922
Balance of Meriwether County	Georgia	2014	13946
Balance of Meriwether County	Georgia	2015	13951
Miller County	Georgia	2010	6144
Miller County	Georgia	2011	6059
Miller County	Georgia	2012	5964
Miller County	Georgia	2013	5882
Miller County	Georgia	2014	5923
Miller County	Georgia	2015	5854
Balance of Miller County	Georgia	2010	4146
Balance of Miller County	Georgia	2011	4080
Balance of Miller County	Georgia	2012	4022
Balance of Miller County	Georgia	2013	3962
Balance of Miller County	Georgia	2014	4003
Balance of Miller County	Georgia	2015	3968
Mitchell County	Georgia	2010	23495
Mitchell County	Georgia	2011	23429
Mitchell County	Georgia	2012	23101
Mitchell County	Georgia	2013	23026
Mitchell County	Georgia	2014	22778
Mitchell County	Georgia	2015	22574
Balance of Mitchell County	Georgia	2010	13108
Balance of Mitchell County	Georgia	2011	13079
Balance of Mitchell County	Georgia	2012	12860
Balance of Mitchell County	Georgia	2013	12775
Balance of Mitchell County	Georgia	2014	12651
Balance of Mitchell County	Georgia	2015	12510
Monroe County	Georgia	2010	26470
Monroe County	Georgia	2011	26677
Monroe County	Georgia	2012	26740
Monroe County	Georgia	2013	26999
Monroe County	Georgia	2014	27056
Monroe County	Georgia	2015	27103
Balance of Monroe County	Georgia	2010	22424
Balance of Monroe County	Georgia	2011	22510
Balance of Monroe County	Georgia	2012	22574
Balance of Monroe County	Georgia	2013	22828
Balance of Monroe County	Georgia	2014	22884
Balance of Monroe County	Georgia	2015	22913
Montgomery County	Georgia	2010	9093
Montgomery County	Georgia	2011	9041
Montgomery County	Georgia	2012	8910
Montgomery County	Georgia	2013	8961
Montgomery County	Georgia	2014	8975
Montgomery County	Georgia	2015	8951
Balance of Montgomery County	Georgia	2010	4920
Balance of Montgomery County	Georgia	2011	4906
Balance of Montgomery County	Georgia	2012	4858
Balance of Montgomery County	Georgia	2013	4847
Balance of Montgomery County	Georgia	2014	4845
Balance of Montgomery County	Georgia	2015	4842
Morgan County	Georgia	2010	17901
Morgan County	Georgia	2011	17911
Morgan County	Georgia	2012	17830
Morgan County	Georgia	2013	17734
Morgan County	Georgia	2014	17981
Morgan County	Georgia	2015	18046
Balance of Morgan County	Georgia	2010	12595
Balance of Morgan County	Georgia	2011	12601
Balance of Morgan County	Georgia	2012	12543
Balance of Morgan County	Georgia	2013	12470
Balance of Morgan County	Georgia	2014	12643
Balance of Morgan County	Georgia	2015	12687
Murray County	Georgia	2010	39541
Murray County	Georgia	2011	39425
Murray County	Georgia	2012	39380
Murray County	Georgia	2013	39258
Murray County	Georgia	2014	39375
Murray County	Georgia	2015	39565
Balance of Murray County	Georgia	2010	34340
Balance of Murray County	Georgia	2011	34235
Balance of Murray County	Georgia	2012	34185
Balance of Murray County	Georgia	2013	34092
Balance of Murray County	Georgia	2014	34183
Balance of Murray County	Georgia	2015	34312
Muscogee County	Georgia	2010	191124
Muscogee County	Georgia	2011	195357
Muscogee County	Georgia	2012	200195
Muscogee County	Georgia	2013	204207
Muscogee County	Georgia	2014	201087
Muscogee County	Georgia	2015	200579
Newton County	Georgia	2010	100171
Newton County	Georgia	2011	100500
Newton County	Georgia	2012	101100
Newton County	Georgia	2013	102312
Newton County	Georgia	2014	103839
Newton County	Georgia	2015	105473
Balance of Newton County	Georgia	2010	82349
Balance of Newton County	Georgia	2011	82594
Balance of Newton County	Georgia	2012	83071
Balance of Newton County	Georgia	2013	84100
Balance of Newton County	Georgia	2014	85265
Balance of Newton County	Georgia	2015	86702
Oconee County	Georgia	2010	32929
Oconee County	Georgia	2011	33262
Oconee County	Georgia	2012	33536
Oconee County	Georgia	2013	34088
Oconee County	Georgia	2014	35147
Oconee County	Georgia	2015	35965
Balance of Oconee County	Georgia	2010	28300
Balance of Oconee County	Georgia	2011	28582
Balance of Oconee County	Georgia	2012	28845
Balance of Oconee County	Georgia	2013	29377
Balance of Oconee County	Georgia	2014	30464
Balance of Oconee County	Georgia	2015	31244
Oglethorpe County	Georgia	2010	14907
Oglethorpe County	Georgia	2011	14785
Oglethorpe County	Georgia	2012	14598
Oglethorpe County	Georgia	2013	14507
Oglethorpe County	Georgia	2014	14680
Oglethorpe County	Georgia	2015	14871
Balance of Oglethorpe County	Georgia	2010	13272
Balance of Oglethorpe County	Georgia	2011	13161
Balance of Oglethorpe County	Georgia	2012	12994
Balance of Oglethorpe County	Georgia	2013	12914
Balance of Oglethorpe County	Georgia	2014	13069
Balance of Oglethorpe County	Georgia	2015	13240
Paulding County	Georgia	2010	142768
Paulding County	Georgia	2011	143787
Paulding County	Georgia	2012	144981
Paulding County	Georgia	2013	147071
Paulding County	Georgia	2014	148921
Paulding County	Georgia	2015	152238
Balance of Paulding County	Georgia	2010	127344
Balance of Paulding County	Georgia	2011	128123
Balance of Paulding County	Georgia	2012	129050
Balance of Paulding County	Georgia	2013	130749
Balance of Paulding County	Georgia	2014	132345
Balance of Paulding County	Georgia	2015	135327
Peach County	Georgia	2010	27750
Peach County	Georgia	2011	27550
Peach County	Georgia	2012	27473
Peach County	Georgia	2013	26861
Peach County	Georgia	2014	26828
Peach County	Georgia	2015	26720
Balance of Peach County	Georgia	2010	12949
Balance of Peach County	Georgia	2011	12784
Balance of Peach County	Georgia	2012	12679
Balance of Peach County	Georgia	2013	12653
Balance of Peach County	Georgia	2014	12557
Balance of Peach County	Georgia	2015	12598
Pickens County	Georgia	2010	29461
Pickens County	Georgia	2011	29480
Pickens County	Georgia	2012	29333
Pickens County	Georgia	2013	29534
Pickens County	Georgia	2014	30046
Pickens County	Georgia	2015	30309
Balance of Pickens County	Georgia	2010	24992
Balance of Pickens County	Georgia	2011	25013
Balance of Pickens County	Georgia	2012	24886
Balance of Pickens County	Georgia	2013	25059
Balance of Pickens County	Georgia	2014	25523
Balance of Pickens County	Georgia	2015	25757
Pierce County	Georgia	2010	18810
Pierce County	Georgia	2011	18732
Pierce County	Georgia	2012	18850
Pierce County	Georgia	2013	18982
Pierce County	Georgia	2014	19001
Pierce County	Georgia	2015	19103
Balance of Pierce County	Georgia	2010	14178
Balance of Pierce County	Georgia	2011	14109
Balance of Pierce County	Georgia	2012	14185
Balance of Pierce County	Georgia	2013	14255
Balance of Pierce County	Georgia	2014	14257
Balance of Pierce County	Georgia	2015	14322
Pike County	Georgia	2010	17906
Pike County	Georgia	2011	17788
Pike County	Georgia	2012	17787
Pike County	Georgia	2013	17786
Pike County	Georgia	2014	17760
Pike County	Georgia	2015	17941
Balance of Pike County	Georgia	2010	15458
Balance of Pike County	Georgia	2011	15360
Balance of Pike County	Georgia	2012	15356
Balance of Pike County	Georgia	2013	15349
Balance of Pike County	Georgia	2014	15342
Balance of Pike County	Georgia	2015	15497
Polk County	Georgia	2010	41536
Polk County	Georgia	2011	41280
Polk County	Georgia	2012	41113
Polk County	Georgia	2013	41117
Polk County	Georgia	2014	41042
Polk County	Georgia	2015	41524
Balance of Polk County	Georgia	2010	26167
Balance of Polk County	Georgia	2011	25920
Balance of Polk County	Georgia	2012	25821
Balance of Polk County	Georgia	2013	25819
Balance of Polk County	Georgia	2014	25689
Balance of Polk County	Georgia	2015	25973
Pulaski County	Georgia	2010	11924
Pulaski County	Georgia	2011	11857
Pulaski County	Georgia	2012	11688
Pulaski County	Georgia	2013	11529
Pulaski County	Georgia	2014	11478
Pulaski County	Georgia	2015	11396
Balance of Pulaski County	Georgia	2010	6247
Balance of Pulaski County	Georgia	2011	6223
Balance of Pulaski County	Georgia	2012	6085
Balance of Pulaski County	Georgia	2013	5989
Balance of Pulaski County	Georgia	2014	5971
Balance of Pulaski County	Georgia	2015	5925
Putnam County	Georgia	2010	21198
Putnam County	Georgia	2011	21255
Putnam County	Georgia	2012	21161
Putnam County	Georgia	2013	21295
Putnam County	Georgia	2014	21173
Putnam County	Georgia	2015	21353
Balance of Putnam County	Georgia	2010	14718
Balance of Putnam County	Georgia	2011	14760
Balance of Putnam County	Georgia	2012	14687
Balance of Putnam County	Georgia	2013	14790
Balance of Putnam County	Georgia	2014	14713
Balance of Putnam County	Georgia	2015	14833
Quitman County	Georgia	2010	2507
Quitman County	Georgia	2011	2461
Quitman County	Georgia	2012	2402
Quitman County	Georgia	2013	2367
Quitman County	Georgia	2014	2303
Quitman County	Georgia	2015	2302
Rabun County	Georgia	2010	16268
Rabun County	Georgia	2011	16283
Rabun County	Georgia	2012	16308
Rabun County	Georgia	2013	16226
Rabun County	Georgia	2014	16230
Rabun County	Georgia	2015	16281
Balance of Rabun County	Georgia	2010	11938
Balance of Rabun County	Georgia	2011	11931
Balance of Rabun County	Georgia	2012	11936
Balance of Rabun County	Georgia	2013	11854
Balance of Rabun County	Georgia	2014	11869
Balance of Rabun County	Georgia	2015	11917
Randolph County	Georgia	2010	7671
Randolph County	Georgia	2011	7581
Randolph County	Georgia	2012	7309
Randolph County	Georgia	2013	7191
Randolph County	Georgia	2014	7300
Randolph County	Georgia	2015	7193
Balance of Randolph County	Georgia	2010	2746
Balance of Randolph County	Georgia	2011	2716
Balance of Randolph County	Georgia	2012	2616
Balance of Randolph County	Georgia	2013	2576
Balance of Randolph County	Georgia	2014	2568
Balance of Randolph County	Georgia	2015	2534
Richmond County	Georgia	2010	200933
Richmond County	Georgia	2011	200509
Richmond County	Georgia	2012	201850
Richmond County	Georgia	2013	201156
Richmond County	Georgia	2014	201149
Richmond County	Georgia	2015	201793
Rockdale County	Georgia	2010	85407
Rockdale County	Georgia	2011	85575
Rockdale County	Georgia	2012	85636
Rockdale County	Georgia	2013	86759
Rockdale County	Georgia	2014	87681
Rockdale County	Georgia	2015	88856
Balance of Rockdale County	Georgia	2010	70163
Balance of Rockdale County	Georgia	2011	70258
Balance of Rockdale County	Georgia	2012	70263
Balance of Rockdale County	Georgia	2013	71192
Balance of Rockdale County	Georgia	2014	71969
Balance of Rockdale County	Georgia	2015	72981
Schley County	Georgia	2010	5013
Schley County	Georgia	2011	5018
Schley County	Georgia	2012	4984
Schley County	Georgia	2013	5057
Schley County	Georgia	2014	5143
Schley County	Georgia	2015	5168
Balance of Schley County	Georgia	2010	3199
Balance of Schley County	Georgia	2011	3200
Balance of Schley County	Georgia	2012	3175
Balance of Schley County	Georgia	2013	3219
Balance of Schley County	Georgia	2014	3270
Balance of Schley County	Georgia	2015	3289
Screven County	Georgia	2010	14504
Screven County	Georgia	2011	14390
Screven County	Georgia	2012	14202
Screven County	Georgia	2013	14204
Screven County	Georgia	2014	14074
Screven County	Georgia	2015	14162
Balance of Screven County	Georgia	2010	10921
Balance of Screven County	Georgia	2011	10836
Balance of Screven County	Georgia	2012	10681
Balance of Screven County	Georgia	2013	10681
Balance of Screven County	Georgia	2014	10578
Balance of Screven County	Georgia	2015	10662
Seminole County	Georgia	2010	8725
Seminole County	Georgia	2011	8769
Seminole County	Georgia	2012	8902
Seminole County	Georgia	2013	8875
Seminole County	Georgia	2014	8651
Seminole County	Georgia	2015	8647
Balance of Seminole County	Georgia	2010	5765
Balance of Seminole County	Georgia	2011	5733
Balance of Seminole County	Georgia	2012	5822
Balance of Seminole County	Georgia	2013	5799
Balance of Seminole County	Georgia	2014	5652
Balance of Seminole County	Georgia	2015	5663
Spalding County	Georgia	2010	64077
Spalding County	Georgia	2011	64086
Spalding County	Georgia	2012	63730
Spalding County	Georgia	2013	63626
Spalding County	Georgia	2014	63872
Spalding County	Georgia	2015	64051
Balance of Spalding County	Georgia	2010	40134
Balance of Spalding County	Georgia	2011	40218
Balance of Spalding County	Georgia	2012	40047
Balance of Spalding County	Georgia	2013	40026
Balance of Spalding County	Georgia	2014	40263
Balance of Spalding County	Georgia	2015	40501
Stephens County	Georgia	2010	26149
Stephens County	Georgia	2011	25741
Stephens County	Georgia	2012	25721
Stephens County	Georgia	2013	25597
Stephens County	Georgia	2014	25455
Stephens County	Georgia	2015	25586
Balance of Stephens County	Georgia	2010	17128
Balance of Stephens County	Georgia	2011	16851
Balance of Stephens County	Georgia	2012	16827
Balance of Stephens County	Georgia	2013	16741
Balance of Stephens County	Georgia	2014	16650
Balance of Stephens County	Georgia	2015	16744
Stewart County	Georgia	2010	6101
Stewart County	Georgia	2011	6071
Stewart County	Georgia	2012	6106
Stewart County	Georgia	2013	5507
Stewart County	Georgia	2014	5803
Stewart County	Georgia	2015	5851
Balance of Stewart County	Georgia	2010	3494
Balance of Stewart County	Georgia	2011	3508
Balance of Stewart County	Georgia	2012	3550
Balance of Stewart County	Georgia	2013	2948
Balance of Stewart County	Georgia	2014	3240
Balance of Stewart County	Georgia	2015	3262
Sumter County	Georgia	2010	32719
Sumter County	Georgia	2011	32106
Sumter County	Georgia	2012	31650
Sumter County	Georgia	2013	31379
Sumter County	Georgia	2014	31233
Sumter County	Georgia	2015	30779
Balance of Sumter County	Georgia	2010	14074
Balance of Sumter County	Georgia	2011	13811
Balance of Sumter County	Georgia	2012	13616
Balance of Sumter County	Georgia	2013	13480
Balance of Sumter County	Georgia	2014	13371
Balance of Sumter County	Georgia	2015	13205
Talbot County	Georgia	2010	6835
Talbot County	Georgia	2011	6761
Talbot County	Georgia	2012	6538
Talbot County	Georgia	2013	6437
Talbot County	Georgia	2014	6377
Talbot County	Georgia	2015	6337
Balance of Talbot County	Georgia	2010	5093
Balance of Talbot County	Georgia	2011	5037
Balance of Talbot County	Georgia	2012	4871
Balance of Talbot County	Georgia	2013	4794
Balance of Talbot County	Georgia	2014	4748
Balance of Talbot County	Georgia	2015	4718
Taliaferro County	Georgia	2010	1699
Taliaferro County	Georgia	2011	1706
Taliaferro County	Georgia	2012	1672
Taliaferro County	Georgia	2013	1689
Taliaferro County	Georgia	2014	1693
Taliaferro County	Georgia	2015	1639
Balance of Taliaferro County	Georgia	2010	1032
Balance of Taliaferro County	Georgia	2011	1036
Balance of Taliaferro County	Georgia	2012	1015
Balance of Taliaferro County	Georgia	2013	1026
Balance of Taliaferro County	Georgia	2014	1029
Balance of Taliaferro County	Georgia	2015	996
Tattnall County	Georgia	2010	25496
Tattnall County	Georgia	2011	25286
Tattnall County	Georgia	2012	25305
Tattnall County	Georgia	2013	25495
Tattnall County	Georgia	2014	25195
Tattnall County	Georgia	2015	25229
Balance of Tattnall County	Georgia	2010	16675
Balance of Tattnall County	Georgia	2011	16505
Balance of Tattnall County	Georgia	2012	16465
Balance of Tattnall County	Georgia	2013	16629
Balance of Tattnall County	Georgia	2014	16440
Balance of Tattnall County	Georgia	2015	16502
Taylor County	Georgia	2010	8771
Taylor County	Georgia	2011	8466
Taylor County	Georgia	2012	8372
Taylor County	Georgia	2013	8416
Taylor County	Georgia	2014	8421
Taylor County	Georgia	2015	8330
Balance of Taylor County	Georgia	2010	5717
Balance of Taylor County	Georgia	2011	5486
Balance of Taylor County	Georgia	2012	5424
Balance of Taylor County	Georgia	2013	5456
Balance of Taylor County	Georgia	2014	5463
Balance of Taylor County	Georgia	2015	5419
Telfair County	Georgia	2010	16489
Telfair County	Georgia	2011	16295
Telfair County	Georgia	2012	16342
Telfair County	Georgia	2013	16573
Telfair County	Georgia	2014	16470
Telfair County	Georgia	2015	16400
Balance of Telfair County	Georgia	2010	5815
Balance of Telfair County	Georgia	2011	5732
